Source.Name,basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
proceedings1919_05_06.csv,529126,ca.proc.d.1919-05-06.9.23,1919-05-06,a10e65bf-4275-4011-8604-14dde37cf065,ca.m.9749,Sir THOMAS WHITE:,Minister of Finance and Receiver General,CANADIAN NATIONAL RAILWAY COMPANY.,,,"In the first place I do not admit that hon. members were gagged at all. It was the fault of hon. gentlemen opposite that closure was applied.

",Unionist,,William Thomas White,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a10e65bf-4275-4011-8604-14dde37cf065&Language=E&Section=ALL
proceedings1919_05_06.csv,529187,ca.proc.d.1919-05-06.10.22,1919-05-06,0e4f9dca-5c4f-43d7-af07-16546fe9215d,ca.m.2882,Mr. J. D. REID:,Minister of Railways and Canals,'2122 COMMONS,,,"We felt that if we
wished to do that, we should come and ask authority from Parliament. There are no bonds on the Intercolonial railway now. In

the future if we wished to remove the Intercolonial from under the operation of this system, it will be free from bonded indebtedness in any way, shape or form.
Now with respect to the operation of the Intercolonial, how could we operate that railway successfully, dr extend to it the advantages that it should enjoy, without incorporating it in the whole railway system? If we left the road under the Minister of Railways, according to my hon. friend, we must keep, up the same operating staff that we had in the past.

",Unionist,,John Dowsley Reid,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0e4f9dca-5c4f-43d7-af07-16546fe9215d&Language=E&Section=ALL
proceedings1919_05_06.csv,529205,ca.proc.d.1919-05-06.10.40,1919-05-06,d02a7b53-dad0-4944-82b0-aed9054a7bc2,ca.m.4870,Mr. MEIGHEN:,Minister of the Interior; Superintendent-General of Indian Affairs,'2122 COMMONS,,,"Through what organization? There are at the present time, I am told, fifteen or seventeen different organizations of the railway employees, absolutely distinct in every way. Are these fifteen different organizations going to make their recommendations ?

",Unionist,,Arthur Meighen,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d02a7b53-dad0-4944-82b0-aed9054a7bc2&Language=E&Section=ALL
proceedings1919_05_06.csv,529136,ca.proc.d.1919-05-06.9.33,1919-05-06,a10e65bf-4275-4011-8604-14dde37cf065,ca.m.9749,Sir THOMAS WHITE:,Minister of Finance and Receiver General,CANADIAN NATIONAL RAILWAY COMPANY.,,,"I was quoting the reference to a different occasion, viz., April 23, 1919, as reported by the Toronto Globe. My hon. friend further quoted Mr. Mitchell, president of the National City Company of New York. Mr. Mitchell stated that the cost was too great and that therefore in the United States the ""popular fashion for Government ownership and operation has materially cooled during the
past year."" The hon. member for Maison-neuve also gave the views of the greatest authority on economics in Europe, according to his opinion, who was ""absolutely opposed	to	public	ownership.""	Havingdone this, he asks the members to pause before committing	themselves	to ""thisfancy"" adding that ""the best friends of the Government"" in the city of Toronto were opposed to ""this very policy."" I submit that the hon. member for Maisonneuve came out as a strong opponent of public ownership. Then, we come to the hon. member	for	Three	Rivers (Mr.	Bureau).One thing I always like about the hon. member	for	Three	Rivers is that he is
downright outspoken; there is nothing equivocal about him. He comes out on one side or the other.

",Unionist,,William Thomas White,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a10e65bf-4275-4011-8604-14dde37cf065&Language=E&Section=ALL
proceedings1919_05_06.csv,529142,ca.proc.d.1919-05-06.9.39,1919-05-06,a10e65bf-4275-4011-8604-14dde37cf065,ca.m.9749,Sir THOMAS WHITE:,Minister of Finance and Receiver General,CANADIAN NATIONAL RAILWAY COMPANY.,,,"I will tell my
hon. friend why. Take the situation in Canada at the present time. We have found that private ownership of railways,
. with the exception of the Canadian Pacific, has failed. I stated the other day in the House, and I state now, that private ownership plus politics have brought about the situation with which we are confronted in this country. The Government of Canada in order to save its own investments- represented by its guarantees and the guarantees of the provinces of this Dominion- and to safeguard the transportation interests, has been obliged to take over the railways that we are administering to-day, and will be obliged to take over practically all the other railways except the Canadian Pacific.

",Unionist,,William Thomas White,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a10e65bf-4275-4011-8604-14dde37cf065&Language=E&Section=ALL
proceedings1919_05_06.csv,529152,ca.proc.d.1919-05-06.9.49,1919-05-06,a10e65bf-4275-4011-8604-14dde37cf065,ca.m.9749,Sir THOMAS WHITE:,Minister of Finance and Receiver General,CANADIAN NATIONAL RAILWAY COMPANY.,,,"Possibly the shipping, too, after a time, but that question does not immediately arise. Here the Government of Canada has taken over an immense railway system, and we will add to it. But let us take a pride in it, and try to make a success of it.
Mr. ANDREWBOSS MhMASTER (Brome): I will not, I hope, be improperly conducting myself if I propose to bring back the minds and thoughts of the members of this House to the question under discussion, which is not one of public or private ownership, but that of Parliamentary control as distinguished from corporate control. The Acting Prime Minister has so vociferously protested his belief in public ownership that we might think he was a recent convert to the principle, because we have heard of the zeal of the apostate, and perhaps it is possible that the minister is an apostate to the principle of private ownership which he held before.
Now I would submit, in order that we may regard this matter in a calm way, that the question of public or private ownership is not one on which almost religious fervour need be displayed. Is it not rather a question of business? I think it is, and I propose to deal with it on that plane. I am always, Mr. Speaker, most interested in anything the Acting Prime Minister says. I always listen to him with the gravest and most careful attention; and I could not help discerning a strong contrast in what he said to-day as compared to what he said some time ago in connection with the proposal advanced by the hon. member for Shelburne and Queens (Mr. Fielding). That hon. gentleman, the other night when this Bill was under consideration in Committee, made precisely the same suggestion as he made this afternoon. And what was the attitude of the Acting Prime Minister on that occasion? Rising in his seat and turning with all that courteous graciousness with which he is endowed, he said to the hon, gentleman (Mr. Fielding): ""What you say, Sir, is worthy of the deepest consideration. I myself am afraid it is impracticable, but I will consult with the officers of the Government and see whether it would not be in the public interest to meet your views."" To-day the same proposal is laid before the House, -and what does the Acting Prime Minister say? He declares: This is an unfair suggestion, or an unfair speech, or an unfair argument-this is a specious argument. Why the reason for the change? The change from courtesy, the change from the
most kindly consideration to somewhat abrupt negation, is due to the few words dropped by the hon. gentleman (Mr. Fielding). He, alas! said, perhaps not altogether with enthusiasm, that the conduct of these railways was going to be handed over to a group of gentlemen who live in and about Toronto. Is it an aspersion on the Acting Prime Minister that the gentlemen who form the board of management of these railways come from Toronto? I think not. But what caused the heat on the part of my hon. friend (Sir Thomas White)? I will tell the 'House. It is because the Acting Prime Minister saw in the words of the member for Shelburne and Queens what might be construed into a statement that what the Canadian people did not like about this Bill was that they felt afraid that it was the turning back of the Canadian Northern into the hands of the Mackenzie and Mann group. That was what caused the sudden change in the demeanour of the Acting Prime Minister. That hon. gentleman has declared, and I s^y, Amen to his statement, that if we are to have a successful experiment in public ownership, the control of the railways must be placed in the hands of those in whom the Canadian people have confidence. The member for Shelburne and Queens has stated that the public ownership proposal contained in this Bill suffers from two handicaps. I say that it suffers from a third handicap-the handicap that the people of Canada believe the Mackenzie and Mann interests are far too closely in touch with the present proposal.

",Unionist,,William Thomas White,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a10e65bf-4275-4011-8604-14dde37cf065&Language=E&Section=ALL
proceedings1919_05_06.csv,529163,ca.proc.d.1919-05-06.9.60,1919-05-06,d5ebc186-4009-4db8-86b0-4782e041793e,ca.m.9762,Mr. CAHILL:,,CANADIAN NATIONAL RAILWAY COMPANY.,,,"The deficits would not be affected adversely by such a plan; they might even be reduced. You could start with the deficits-with the deficit of this year, if you wanted to, or with the average deficits over a period of years-and begin to share profits even before dividends were earned on the investment. There would be nothing wrong about that. You would be getting the hearty co-operation of every man working on the road; every man fnterested in the enterprise would have an opportunity of sharing in its profits, and if the commission was appointed for a term of years would feel that he was free from all political control. It would be in his interest and in the interest of all the men on the road, individually and collectively, to make the road pay as far as possible. The deficit, Mr. Speaker, we must get rid of. We cannot go on multiplying these deficits indefinitely. If we do, we shall kill not only public ownership, but the reputation1 of Canada as well. We must get people into this country. We must get immigration.
At six o'clock the House took recess.
After Recess.
The House resumed at eight o'clock.

",Laurier Liberal,,Frank S. Cahill,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d5ebc186-4009-4db8-86b0-4782e041793e&Language=E&Section=ALL
proceedings1919_05_06.csv,529171,ca.proc.d.1919-05-06.10.6,1919-05-06,d98b30ab-759a-4b5e-b3ba-420ce11b08d2,ca.m.9083,Mr. SINCLAIR (Guysborough):,,'2122 COMMONS,,,"I was paired with the Prime Minister (Sir Robert Borden). Had I voted, I would have voted for the amendment.

",Laurier Liberal,,John Howard Sinclair,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d98b30ab-759a-4b5e-b3ba-420ce11b08d2&Language=E&Section=ALL
proceedings1919_05_06.csv,529167,ca.proc.d.1919-05-06.10.1.2,1919-05-06,,,,stagedirection,,,,"Railway Board, and then we would get the co-operation of all the labour organizations of the country. If you get the best men possible to manage the railway, and pay them good salaries-pay them anything in reason, because they can save their salaries in a day on this undertaking-and give them a free hand, make the undertaking as free as possible from politics, and get the co-operation not only of the labour organizations and the railway employees but of everybody in the country, the undertaking will be a success instead of showing a deficit. But an audit of the expenditures should be submitted to Parliament, so that the people's representatives can see what is being done with the people's money; because if you do not show that you are honest, if you are unwilling to lay your cards on the table, you cannot expect the people of this country to have confidence in the undertaking. They would not go out of their way to patronize the road or do anything they could to further its interests because they would have the feeling that it was not the interests of the road, their own interests, they were advancing, but the interests of some private individual. Let the Government give us freely and frankly the information they have in their possession, so as to secure the co-operation of everybody.
Some hon. members have suggested that I have been obstructing more or less. Well, at the time to which the hon. member for Red Deer refers, I brought to the attention of the Committee a question which I have since seen repeated in the press, and it is this: The Minister of Railways told us that the'deficit would be about $7,000,000, and that the earnings of the road above operating cost would be about $3,000,000. As I pointed out then, our liabilities in connection with this road amount to something like $470,000,000, the interest on which would be in the neighbourhood of $18,800,000. Deducting $3,000,000, the surplus earnings over operating cost, leaves a deficit of about $15,000,000.' I maintain that it is unreasonable for the Government to accuse the Opposition of obstructing when they refuse to give such information as I am asking for now. The minister made that statement; when I asked him to explain, he did not refute it at all, but simply refused to answer. I might say that when I put the question, we were then under closure, and as soon as any hon. member on. this side of the House asked a question the Minister of the Interior (Mr. Meighen) would say: ""I move that the further consideration of

this question be postponed."" A number of the clauses of this Bill have never been debated in the House, and I think the Government are giving the National Railway Company a very bad start. In the first place, the Bill is being forced through under closure; the vital clauses are not being debated, and the Government will not agree to have an annual report of the undertaking submitted to Parliament.",,,,
proceedings1919_05_06.csv,529088,ca.proc.d.1919-05-06.6.1.2,1919-05-06,d02a7b53-dad0-4944-82b0-aed9054a7bc2,ca.m.4870,Hon. ARTHUR MEIGHEN (Acting Minister of Justice):,Minister of the Interior; Superintendent-General of Indian Affairs,"THE WAR MEASURES ACT, 1914.",BILL TO EXTEND ORDERS IN COUNCIL NOT PROCEEDED WITH FOR THE PRESENT.,,"I wish to make a statement with regard to Order No. 26, Second Reading of Bill No. 71, to extend the operation of the Orders and Regulations passed by the Governor in Council under the War Measures Act, 1914.
This Bill was to have been gone on with earlier, but for the fact that intimation has come from the Prime Minister that the arrangements now in effect as to the Treaty
134	[DOT]
of Peace are such that it is unlikely any treaty of peace will be formally ratified in such a way that a declaration ending the war might be made by His Majesty before approximately the first of August. Consequently, no object would be served by going on with the measure at the present time.

",Unionist,,Arthur Meighen,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d02a7b53-dad0-4944-82b0-aed9054a7bc2&Language=E&Section=ALL
proceedings1919_05_06.csv,529185,ca.proc.d.1919-05-06.10.20,1919-05-06,0e4f9dca-5c4f-43d7-af07-16546fe9215d,ca.m.2882,Mr. J. D. REID:,Minister of Railways and Canals,'2122 COMMONS,,,"That is what I say, the hon. gentleman evidently made a mistake. While the Intercolonial railway is transferred for operation purposes to the Canadian National Railway system, no power is given to the company, or to the Government, to issue bonds in connection with the Intercolonial, the Prince Edward Island, or the Transcontinental railway.

",Unionist,,John Dowsley Reid,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0e4f9dca-5c4f-43d7-af07-16546fe9215d&Language=E&Section=ALL
proceedings1919_05_06.csv,529206,ca.proc.d.1919-05-06.10.41,1919-05-06,4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c,ca.m.491,Mr. E. LAPOINTE:,,'2122 COMMONS,,,"My hon. friend
ought to know that it can be done very easily.

",Laurier Liberal,,Ernest Lapointe,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c&Language=E&Section=ALL
proceedings1919_05_06.csv,529207,ca.proc.d.1919-05-06.10.42,1919-05-06,d02a7b53-dad0-4944-82b0-aed9054a7bc2,ca.m.4870,Mr. MEIGHEN:,Minister of the Interior; Superintendent-General of Indian Affairs,'2122 COMMONS,,,"I am quite free to remark that the method of doing it was not

made clear by the mover or the seconder of the amendment, and one would have thought that would have been their duty.

",Unionist,,Arthur Meighen,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d02a7b53-dad0-4944-82b0-aed9054a7bc2&Language=E&Section=ALL
proceedings1919_05_06.csv,529212,ca.proc.d.1919-05-06.10.47,1919-05-06,89103d9d-627c-4f56-8113-57b0d3865982,ca.m.3867,Hon. W. S. FIELDING (Shelburne and Queen's):,,'2122 COMMONS,,,"Mr. Speaker, I would like to support the motion of my hon. friend from Kamouraska (Mr. Lapointe), so eloquently supported by my hon. friend from St. Denis (Mr. Verville), but logically I fail to see any good reason for it. I sympathize heartily with the argument that labour ought to be represented on this Board. I hope the Government will keep that in mind and see that labour is represented on the Board, and, if it be possible, labour connected with the railway itself. But there are other classes also that we would like to see represented on the Board, and I do not think it is wise to select one particular class and dictate as to their appointment. For example the hon. member for Quebec South (Mr. Power) suggested- and I like the suggestion-that among the returned soldiers of the engineer corps, there are a number .of very capable men and that it might be desirable that one of this class might be found to go on the board. There is not only the consideration that we would have the benefit of his skill as an engineer, but the fact that he is a returned soldier means a good deal to us all. But I do not think that you should put it in an Act of Parliament that there, must be one. This board ought to represent different interests in the community and if the Government do not see that all legitimate interests are represented, that will be a grievance for which we have a right to call them to account. But I must say that I do not see the logic of saying that as respects one particular section, we will put that in the Bill, but as respects all other elements we will not say anything about them at all. I do not think that is reasonable. I sympathize warmly with the argument that labour ought to be represented on the board, and if the Government fail to provide in some way or other for the representation of labour on that board it will be pursuing a course for which at a later stage it should be called to account in Parliament.

",Unionist (Liberal),,William Stevens Fielding,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=89103d9d-627c-4f56-8113-57b0d3865982&Language=E&Section=ALL
